Area,Year,Casualties
DR Congo (Zaire),2003,4328
DR Congo (Zaire),2004,795
DR Congo (Zaire),2005,314
DR Congo (Zaire),2006,390
DR Congo (Zaire),2007,879
DR Congo (Zaire),2008,1740
DR Congo (Zaire),2009,5069
DR Congo (Zaire),2010,799
DR Congo (Zaire),2011,511
DR Congo (Zaire),2012,1842
DR Congo (Zaire),2013,2196
DR Congo (Zaire),2014,1622
DR Congo (Zaire),2015,737
DR Congo (Zaire),2016,2194
DR Congo (Zaire),2017,6031
DR Congo (Zaire),2018,3130
DR Congo (Zaire),2019,2506
DR Congo (Zaire),2020,3905
Djibouti,2008,35
Djibouti,2014,1
Djibouti,2018,6
Ecuador,2001,2
Ecuador,2003,26
Ecuador,2008,25
Ecuador,2019,2
Egypt,2004,35
Egypt,2005,124
Egypt,2006,2
Egypt,2008,2
Egypt,2009,1
Egypt,2010,1
Egypt,2011,31
Egypt,2012,75
Egypt,2013,135
Egypt,2014,249
Egypt,2015,991
Egypt,2016,404
Egypt,2017,902
Egypt,2018,692
Egypt,2019,665
Egypt,2020,546
Eritrea,2003,57
Eritrea,2008,0
Eritrea,2016,25
Ethiopia,2001,388
Ethiopia,2002,809
Ethiopia,2003,1093
Ethiopia,2004,475
Ethiopia,2005,290
Ethiopia,2006,430
Ethiopia,2007,500
Ethiopia,2008,311
Ethiopia,2009,590
Ethiopia,2010,152
Ethiopia,2011,66
Ethiopia,2012,385
Ethiopia,2013,88
Ethiopia,2014,39
Ethiopia,2015,307
Ethiopia,2016,529
Ethiopia,2017,475
Ethiopia,2018,687
Ethiopia,2019,378
Ethiopia,2020,4833
France,2007,2
France,2012,4
France,2015,133
France,2016,87
France,2017,2
France,2018,13
Gambia,2004,1
Gambia,2005,8
Gambia,2012,1
Georgia,2002,0
Georgia,2004,27
Georgia,2008,621
Georgia,2010,3
Georgia,2011,0
Germany,2016,12
Ghana,2001,50
Ghana,2002,36
Ghana,2008,55
Ghana,2009,8
Ghana,2010,1
Guatemala,2001,5
Guatemala,2002,2
Guatemala,2004,1
Guatemala,2005,58
Guatemala,2007,5
Guatemala,2008,41
Guatemala,2009,1
Guatemala,2011,27
Guatemala,2015,20
Guinea,2001,430
Guinea,2005,3
Guinea,2006,15
Guinea,2007,45
Guinea,2009,160
Guinea,2010,1
Guinea,2011,25
Guinea,2012,9
Guinea,2013,98
Guinea,2015,3
Guinea,2019,1
Guinea,2020,49
Guyana,2008,29
Haiti,2004,231
Haiti,2005,40
Haiti,2017,8
Haiti,2018,71
Haiti,2019,1
Haiti,2020,163
Honduras,2002,1
Honduras,2003,47
Honduras,2004,30
Honduras,2008,18
Honduras,2010,58
Honduras,2011,18
Honduras,2012,18
Honduras,2014,21
Honduras,2016,10
Honduras,2019,4
Honduras,2020,1
India,2001,1730
India,2002,3035
India,2003,2426
India,2004,1642
India,2005,2015
India,2006,2155
India,2007,1720
India,2008,1856
India,2009,1621
India,2010,1633
India,2011,798
India,2012,801
India,2013,702
India,2014,734
India,2015,622
India,2016,761
India,2017,847
India,2018,950
India,2019,734
India,2020,754
Indonesia,2001,834
Indonesia,2002,762
Indonesia,2003,1068
Indonesia,2004,1082
Indonesia,2005,242
Indonesia,2006,13
Indonesia,2007,2
Indonesia,2008,6
Indonesia,2011,9
Indonesia,2012,1
Indonesia,2013,20
Indonesia,2014,12
Indonesia,2015,4
Indonesia,2017,2
Indonesia,2018,32
Indonesia,2019,15
Indonesia,2020,22
Iran,2001,112
Iran,2003,2
Iran,2005,53
Iran,2006,61
Iran,2007,86
Iran,2008,117
Iran,2009,167
Iran,2010,101
Iran,2011,220
Iran,2012,17
Iran,2013,11
Iran,2014,5
Iran,2015,25
Iran,2016,69
Iran,2017,58
Iran,2018,92
Iran,2019,313
Iran,2020,246
Iraq,2001,56
Iraq,2002,111
Iraq,2003,8021
Iraq,2004,4366
Iraq,2005,3521
Iraq,2006,4598
Iraq,2007,4489
Iraq,2008,2765
Iraq,2009,1720
Iraq,2010,1857
Iraq,2011,1399
Iraq,2012,1407
Iraq,2013,4010
Iraq,2014,16437
Iraq,2015,11303
Iraq,2016,12025
Iraq,2017,11400
Iraq,2018,1443
Iraq,2019,916
Iraq,2020,925
Israel,2001,355
Israel,2002,888
Israel,2003,472
Israel,2004,514
Israel,2005,211
Israel,2006,646
Israel,2007,538
Israel,2008,735
Israel,2009,751
Israel,2010,75
Israel,2011,102
Israel,2012,253
Israel,2013,12
Israel,2014,2403
Israel,2015,16
Israel,2016,11
Israel,2017,25
Israel,2018,76
Israel,2019,83
Israel,2020,8
Ivory Coast,2001,2
Ivory Coast,2002,1028
Ivory Coast,2003,492
Ivory Coast,2004,304
Ivory Coast,2005,153
Ivory Coast,2006,11
Ivory Coast,2007,3
Ivory Coast,2008,4
Ivory Coast,2009,1
Ivory Coast,2010,80
Ivory Coast,2011,1256
Ivory Coast,2012,21
Ivory Coast,2013,4
Ivory Coast,2016,49
Ivory Coast,2020,3
Jamaica,2001,116
Jamaica,2002,15
Jamaica,2003,7
Jordan,2005,59
Jordan,2015,1
Jordan,2016,37
Kenya,2001,192
Kenya,2002,45
Kenya,2003,7
Kenya,2004,20
Kenya,2005,215
Kenya,2006,219
Kenya,2007,200
Kenya,2008,783
Kenya,2009,170
Kenya,2010,87
Kenya,2011,144
Kenya,2012,309
Kenya,2013,267
Kenya,2014,344
Kenya,2015,389
Kenya,2016,130
Kenya,2017,228
Kenya,2018,164
Kenya,2019,188
Kenya,2020,151
Kingdom of eSwatini (Swaziland),2019,1
Kingdom of eSwatini (Swaziland),2020,2
Kuwait,2015,26
Kyrgyzstan,2006,6
Kyrgyzstan,2010,44
Kyrgyzstan,2015,1
Laos,2002,4
Laos,2003,5
Laos,2004,4
Laos,2006,73
Lebanon,2001,4
Lebanon,2002,0
Lebanon,2003,1
Lebanon,2005,3
Lebanon,2006,747
Lebanon,2008,38
Lebanon,2011,4
Lebanon,2012,53
Lebanon,2013,179
Lebanon,2014,228
Lebanon,2015,200
Lebanon,2016,56
Lebanon,2017,297
Lebanon,2018,2
Lebanon,2020,20
Liberia,2001,481
Liberia,2002,2259
Liberia,2003,3281
Liberia,2019,1
Liberia,2020,2
Libya,2008,6
Libya,2011,3914
Libya,2012,378
Libya,2013,36
Libya,2014,1455
Libya,2015,1594
Libya,2016,2349
Libya,2017,1096
Libya,2018,670
Libya,2019,1786
Libya,2020,689
"Macedonia, FYR",2001,72
Madagascar (Malagasy),2002,79
Madagascar (Malagasy),2009,113
Madagascar (Malagasy),2012,15
Madagascar (Malagasy),2017,1
Madagascar (Malagasy),2019,3
Madagascar (Malagasy),2020,23
Malaysia,2013,70
Malaysia,2017,1
Mali,2002,5
Mali,2004,20
Mali,2005,12
Mali,2007,39
Mali,2008,113
Mali,2009,127
Mali,2010,28
Mali,2011,23
Mali,2012,359
Mali,2013,881
Mali,2014,291
Mali,2015,256
Mali,2016,182
Mali,2017,605
Mali,2018,1281
Mali,2019,1227
Mali,2020,1509
Mauritania,2007,4
Mauritania,2008,12
Mauritania,2009,1
Mauritania,2010,1
Mauritania,2011,13
Mauritania,2012,1
Mauritania,2020,0
Mexico,2002,26
Mexico,2004,220
Mexico,2005,204
Mexico,2006,669
Mexico,2007,1943
Mexico,2008,2188
Mexico,2009,3598
Mexico,2010,3582
Mexico,2011,2893
Mexico,2012,1699
Mexico,2013,776
Mexico,2014,1646
Mexico,2015,1654
Mexico,2016,1320
Mexico,2017,1465
Mexico,2018,8803
Mexico,2019,11998
Mexico,2020,16441
Morocco,2003,34
Morocco,2020,2
Mozambique,2004,1
Mozambique,2005,13
Mozambique,2010,7
Mozambique,2012,2
Mozambique,2013,45
Mozambique,2014,30
Mozambique,2015,3
Mozambique,2016,68
Mozambique,2017,3
Mozambique,2018,173
Mozambique,2019,597
Mozambique,2020,1623
Myanmar (Burma),2001,385
Myanmar (Burma),2002,543
Myanmar (Burma),2003,272
Myanmar (Burma),2004,177
Myanmar (Burma),2005,447
Myanmar (Burma),2006,452
Myanmar (Burma),2007,700
Myanmar (Burma),2008,102
Myanmar (Burma),2009,225
Myanmar (Burma),2010,185
Myanmar (Burma),2011,810
Myanmar (Burma),2012,971
Myanmar (Burma),2013,358
Myanmar (Burma),2014,256
Myanmar (Burma),2015,705
Myanmar (Burma),2016,183
Myanmar (Burma),2017,2395
Myanmar (Burma),2018,122
Myanmar (Burma),2019,587
Myanmar (Burma),2020,196
Namibia,2002,5
Nepal,2001,569
Nepal,2002,4432
Nepal,2003,1732
Nepal,2004,2456
Nepal,2005,1399
Nepal,2006,566
Nepal,2007,31
Nepal,2008,0
Nepal,2009,9
Netherlands,2015,0
Niger,2004,4
Niger,2007,98
Niger,2008,56
Niger,2012,1
Niger,2013,31
Niger,2014,5
Niger,2015,533
Niger,2016,299
Niger,2017,255
Niger,2018,181
Niger,2019,434
Niger,2020,795
Nigeria,2001,2417
Nigeria,2002,612
Nigeria,2003,443
Nigeria,2004,2118
Nigeria,2005,216
Nigeria,2006,225
Nigeria,2007,153
Nigeria,2008,425
Nigeria,2009,530
Nigeria,2010,980
Nigeria,2011,1830
Nigeria,2012,2016
Nigeria,2013,3382
Nigeria,2014,10338
Nigeria,2015,9107
Nigeria,2016,3902
Nigeria,2017,3572
Nigeria,2018,3225
Nigeria,2019,2437
Nigeria,2020,3046
Pakistan,2001,42
Pakistan,2002,170
Pakistan,2003,242
Pakistan,2004,430
Pakistan,2005,153
Pakistan,2006,427
Pakistan,2007,1366
Pakistan,2008,4620
Pakistan,2009,7460
Pakistan,2010,7226
Pakistan,2011,3475
Pakistan,2012,3541
Pakistan,2013,2914
Pakistan,2014,3620
Pakistan,2015,2450
Pakistan,2016,1100
Pakistan,2017,954
Pakistan,2018,483
Pakistan,2019,293
Pakistan,2020,409
Papua New Guinea,2001,65
Papua New Guinea,2002,7
Papua New Guinea,2012,57
Papua New Guinea,2019,28
Peru,2001,21
Peru,2002,13
Peru,2003,13
Peru,2004,3
Peru,2005,0
Peru,2006,11
Peru,2007,32
Peru,2008,40
Peru,2009,54
Peru,2010,29
Peru,2011,15
Peru,2013,3
Peru,2014,14
Peru,2015,9
Peru,2016,11
Peru,2017,7
Peru,2019,2
Peru,2020,11
Philippines,2001,792
Philippines,2002,763
Philippines,2003,1132
Philippines,2004,470
Philippines,2005,487
Philippines,2006,434
Philippines,2007,483
Philippines,2008,566
Philippines,2009,1047
Philippines,2010,372
Philippines,2011,414
Philippines,2012,311
Philippines,2013,537
Philippines,2014,484
Philippines,2015,628
Philippines,2016,616
Philippines,2017,1708
Philippines,2018,436
Philippines,2019,364
Philippines,2020,375
Qatar,2004,0
Russia (Soviet Union),2001,992
Russia (Soviet Union),2002,1509
Russia (Soviet Union),2003,539
Russia (Soviet Union),2004,1317
Russia (Soviet Union),2005,688
Russia (Soviet Union),2006,260
Russia (Soviet Union),2007,182
Russia (Soviet Union),2008,410
Russia (Soviet Union),2009,697
Russia (Soviet Union),2010,481
Russia (Soviet Union),2011,396
Russia (Soviet Union),2012,525
Russia (Soviet Union),2013,365
Russia (Soviet Union),2014,176
Russia (Soviet Union),2015,86
Russia (Soviet Union),2016,78
Russia (Soviet Union),2017,53
Russia (Soviet Union),2018,38
Russia (Soviet Union),2019,26
Russia (Soviet Union),2020,33
Rwanda,2001,2044
Rwanda,2004,16
Rwanda,2009,2
Rwanda,2011,0
Rwanda,2012,13
Rwanda,2013,4
Rwanda,2016,27
Rwanda,2017,10
Rwanda,2018,6
Rwanda,2019,19
Saudi Arabia,2003,26
Saudi Arabia,2004,91
Saudi Arabia,2005,31
Saudi Arabia,2006,11
Saudi Arabia,2007,2
Saudi Arabia,2015,110
Saudi Arabia,2016,125
Saudi Arabia,2017,45
Saudi Arabia,2018,11
Saudi Arabia,2019,3
Saudi Arabia,2020,0
Senegal,2001,47
Senegal,2002,45
Senegal,2003,39
Senegal,2004,3
Senegal,2005,46
Senegal,2006,126
Senegal,2008,11
Senegal,2009,19
Senegal,2010,19
Senegal,2011,37
Senegal,2012,23
Senegal,2013,8
Senegal,2018,1
Senegal,2020,0
Serbia (Yugoslavia),2001,0
Sierra Leone,2001,73
Sierra Leone,2002,1
Somalia,2001,483
Somalia,2002,638
Somalia,2003,405
Somalia,2004,670
Somalia,2005,340
Somalia,2006,1204
Somalia,2007,1620
Somalia,2008,1751
Somalia,2009,2204
Somalia,2010,2722
Somalia,2011,2118
Somalia,2012,2989
Somalia,2013,1045
Somalia,2014,1247
Somalia,2015,1250
Somalia,2016,2065
Somalia,2017,2071
Somalia,2018,2500
Somalia,2019,2221
Somalia,2020,2120
South Africa,2002,2
South Africa,2004,0
South Africa,2010,1
South Africa,2015,0
South Africa,2016,3
South Africa,2018,1
South Africa,2019,1
South Africa,2020,5
South Sudan,2011,1194
South Sudan,2012,864
South Sudan,2013,1827
South Sudan,2014,2491
South Sudan,2015,1137
South Sudan,2016,1303
South Sudan,2017,1271
South Sudan,2018,1217
South Sudan,2019,642
South Sudan,2020,748
Spain,2001,13
Spain,2002,5
Spain,2003,3
Spain,2004,191
Spain,2008,2
Spain,2009,3
Spain,2011,1
Spain,2017,16
Sri Lanka,2001,1162
Sri Lanka,2002,17
Sri Lanka,2003,33
Sri Lanka,2004,84
Sri Lanka,2005,130
Sri Lanka,2006,2173
Sri Lanka,2007,2564
Sri Lanka,2008,8453
Sri Lanka,2009,10418
Sri Lanka,2011,2
Sri Lanka,2013,5
Sri Lanka,2017,1
Sri Lanka,2019,255
Sudan,2001,3719
Sudan,2002,3227
Sudan,2003,5010
Sudan,2004,9714
Sudan,2005,1505
Sudan,2006,2187
Sudan,2007,1180
Sudan,2008,1241
Sudan,2009,2689
Sudan,2010,1790
Sudan,2011,2567
Sudan,2012,1525
Sudan,2013,1959
Sudan,2014,1912
Sudan,2015,2552
Sudan,2016,1994
Sudan,2017,548
Sudan,2018,432
Sudan,2019,435
Sudan,2020,606
Sweden,2017,5
Syria,2004,8
Syria,2008,1
Syria,2011,4347
Syria,2012,53695
Syria,2013,76490
Syria,2014,78644
Syria,2015,59582
Syria,2016,53863
Syria,2017,38534
Syria,2018,21727
Syria,2019,11217
Syria,2020,5690
Tajikistan,2005,1
Tajikistan,2006,8
Tajikistan,2009,17
Tajikistan,2010,98
Tajikistan,2011,28
Tajikistan,2013,3
Tajikistan,2014,3
Tajikistan,2018,4
Tajikistan,2019,4
Tanzania,2001,37
Tanzania,2007,3
Tanzania,2017,1
Tanzania,2018,1
Tanzania,2019,6
Tanzania,2020,43
Thailand,2001,25
Thailand,2002,23
Thailand,2003,26
Thailand,2004,310
Thailand,2005,494
Thailand,2006,541
Thailand,2007,518
Thailand,2008,328
Thailand,2009,258
Thailand,2010,218
Thailand,2011,277
Thailand,2012,244
Thailand,2013,249
Thailand,2014,100
Thailand,2015,84
Thailand,2016,69
Thailand,2017,50
Thailand,2018,61
Thailand,2019,60
Thailand,2020,47
Togo,2005,436
Togo,2019,1
Tunisia,2002,21
Tunisia,2011,8
Tunisia,2012,3
Tunisia,2013,29
Tunisia,2014,51
Tunisia,2015,135
Tunisia,2016,88
Tunisia,2017,15
Tunisia,2018,25
Tunisia,2019,20
Tunisia,2020,12
Turkey,2001,120
Turkey,2002,34
Turkey,2003,150
Turkey,2004,221
Turkey,2005,295
Turkey,2006,226
Turkey,2007,502
Turkey,2008,491
Turkey,2009,138
Turkey,2010,231
Turkey,2011,410
Turkey,2012,789
Turkey,2013,23
Turkey,2014,11
Turkey,2015,1061
Turkey,2016,1558
Turkey,2017,455
Turkey,2018,435
Turkey,2019,307
Turkey,2020,205
Uganda,2001,212
Uganda,2002,1316
Uganda,2003,1628
Uganda,2004,2004
Uganda,2005,922
Uganda,2006,334
Uganda,2007,156
Uganda,2008,32
Uganda,2009,59
Uganda,2010,74
Uganda,2014,7
Uganda,2016,30
Uganda,2017,0
Uganda,2018,2
Uganda,2019,2
Ukraine,2014,4528
Ukraine,2015,1726
Ukraine,2016,255
Ukraine,2017,415
Ukraine,2018,243
Ukraine,2019,311
Ukraine,2020,196
United Arab Emirates,2010,1
United Kingdom,2001,1
United Kingdom,2002,3
United Kingdom,2003,1
United Kingdom,2004,1
United Kingdom,2005,53
United Kingdom,2006,0
United Kingdom,2009,2
United Kingdom,2011,1
United Kingdom,2019,4
United Kingdom,2020,1
United States of America,2001,2986
United States of America,2010,2
United States of America,2015,14
United States of America,2017,8
Uzbekistan,2004,37
Uzbekistan,2009,16
Venezuela,2001,27
Venezuela,2002,27
Venezuela,2003,25
Venezuela,2004,31
Venezuela,2005,30
Venezuela,2006,22
Venezuela,2007,16
Venezuela,2008,27
Venezuela,2009,25
Venezuela,2010,22
Venezuela,2011,10
Venezuela,2012,33
Venezuela,2013,6
Venezuela,2014,44
Venezuela,2015,32
Venezuela,2016,59
Venezuela,2017,72
Venezuela,2018,78
Venezuela,2019,83
Venezuela,2020,5
Yemen (North Yemen),2003,6
Yemen (North Yemen),2004,28
Yemen (North Yemen),2008,21
Yemen (North Yemen),2009,94
Yemen (North Yemen),2010,201
Yemen (North Yemen),2011,1317
Yemen (North Yemen),2012,2345
Yemen (North Yemen),2013,582
Yemen (North Yemen),2014,2120
Yemen (North Yemen),2015,7239
Yemen (North Yemen),2016,3948
Yemen (North Yemen),2017,3493
Yemen (North Yemen),2018,4840
Yemen (North Yemen),2019,2044
Yemen (North Yemen),2020,2730
Zambia,2001,7
Zimbabwe (Rhodesia),2001,0
Zimbabwe (Rhodesia),2003,0
Zimbabwe (Rhodesia),2007,0
Zimbabwe (Rhodesia),2008,253
Zimbabwe (Rhodesia),2009,0
Zimbabwe (Rhodesia),2011,1
Zimbabwe (Rhodesia),2012,1
Zimbabwe (Rhodesia),2018,4
Zimbabwe (Rhodesia),2019,8
Zimbabwe (Rhodesia),2020,2
